precinct,country,county_lat,county_long,constitution,Democratic-Farmer-Labor,american delta,libertarian,green,republican,,Independence,Socialist Workers,Legal Marijuana Now
AITKIN TWP|10,Aitkin County,46.602446,-93.41976,1,154,0,18,5,356,4,7,0,2
AITKIN|5,Aitkin County,46.602446,-93.41976,3,358,0,36,2,552,6,21,1,7
BALL BLUFF TWP|15,Aitkin County,46.602446,-93.41976,0,57,0,6,1,96,1,2,0,1
BALSAM TWP|20,Aitkin County,46.602446,-93.41976,0,8,0,0,0,9,1,0,0,0
BEAVER TWP|25,Aitkin County,46.602446,-93.41976,0,19,0,0,0,16,0,0,0,2
CLARK TWP|30,Aitkin County,46.602446,-93.41976,0,30,0,0,1,47,0,0,0,1
CORNISH TWP|35,Aitkin County,46.602446,-93.41976,0,9,0,2,0,11,0,0,0,0
FARM ISLAND TWP|40,Aitkin County,46.602446,-93.41976,0,267,0,16,6,432,2,8,0,2
FLEMING TWP|45,Aitkin County,46.602446,-93.41976,0,78,0,11,3,144,1,1,0,1
GLEN TWP|50,Aitkin County,46.602446,-93.41976,1,105,0,13,0,174,2,6,0,2
HAUGEN TWP|55,Aitkin County,46.602446,-93.41976,0,38,0,5,0,61,0,3,0,0
HAZELTON TWP|60,Aitkin County,46.602446,-93.41976,0,189,0,10,4,329,3,7,0,1
HILL CITY|65,Aitkin County,46.602446,-93.41976,0,97,0,7,0,204,0,2,0,3
HILL LAKE TWP|70,Aitkin County,46.602446,-93.41976,1,78,0,5,2,126,1,1,1,0
IDUN TWP|75,Aitkin County,46.602446,-93.41976,0,27,0,5,0,79,0,0,0,0
JEVNE TWP|80,Aitkin County,46.602446,-93.41976,0,43,0,5,0,121,1,3,0,1
KIMBERLY TWP|85,Aitkin County,46.602446,-93.41976,0,44,0,2,1,71,0,5,0,0
LAKESIDE TWP|90,Aitkin County,46.602446,-93.41976,1,87,0,3,4,175,2,3,0,1
LEE TWP|95,Aitkin County,46.602446,-93.41976,0,7,0,1,0,22,0,0,0,0
LIBBY TWP E|100,Aitkin County,46.602446,-93.41976,0,5,0,0,0,15,0,0,0,0
LIBBY TWP W|105,Aitkin County,46.602446,-93.41976,0,8,0,1,1,6,0,0,0,1
LOGAN TWP|110,Aitkin County,46.602446,-93.41976,0,36,0,5,2,72,0,0,1,0
MACVILLE TWP|130,Aitkin County,46.602446,-93.41976,0,37,0,1,1,57,0,1,0,1
MALMO TWP|135,Aitkin County,46.602446,-93.41976,2,77,1,5,0,127,2,4,0,1
MCGRATH|115,Aitkin County,46.602446,-93.41976,0,4,0,2,0,16,0,0,0,4
MCGREGOR TWP|125,Aitkin County,46.602446,-93.41976,0,10,0,0,0,36,1,1,0,0
MCGREGOR|120,Aitkin County,46.602446,-93.41976,0,62,0,3,2,74,1,4,0,0
MILLWARD TWP|132,Aitkin County,46.602446,-93.41976,0,13,0,2,0,12,0,0,0,0
MORRISON TWP|140,Aitkin County,46.602446,-93.41976,1,25,1,5,1,62,0,1,0,0
NE AITKIN UNORG|240,Aitkin County,46.602446,-93.41976,0,5,0,0,0,21,0,1,0,1
NORDLAND TWP|145,Aitkin County,46.602446,-93.41976,3,230,0,22,5,406,3,12,0,2
NW AITKIN UNORG P-1|290,Aitkin County,46.602446,-93.41976,1,8,0,2,0,38,1,0,0,0
NW AITKIN UNORG P-2|260,Aitkin County,46.602446,-93.41976,0,30,0,4,0,53,0,2,0,0
PALISADE|150,Aitkin County,46.602446,-93.41976,0,31,0,4,1,40,2,1,0,1
PLINY TWP|155,Aitkin County,46.602446,-93.41976,2,9,0,1,0,37,0,0,0,0
RICE RIVER TWP|160,Aitkin County,46.602446,-93.41976,0,20,0,4,3,52,1,0,0,1
SALO TWP|165,Aitkin County,46.602446,-93.41976,0,24,0,0,3,27,0,0,1,0
SEAVEY TWP|170,Aitkin County,46.602446,-93.41976,0,4,0,2,1,31,1,0,0,0
SHAMROCK TWP|175,Aitkin County,46.602446,-93.41976,1,291,1,18,6,402,4,9,0,3
SPALDING TWP|180,Aitkin County,46.602446,-93.41976,1,43,0,2,3,52,1,1,1,2
SPENCER TWP|185,Aitkin County,46.602446,-93.41976,1,107,0,18,1,203,1,5,0,1
TAMARACK|190,Aitkin County,46.602446,-93.41976,0,16,0,0,1,13,0,0,0,0
TURNER TWP|195,Aitkin County,46.602446,-93.41976,0,39,0,6,2,60,0,1,0,0
UNORG 45-24 (JEWETT UNORG)|82,Aitkin County,46.602446,-93.41976,1,4,0,0,0,18,2,0,0,0
UNORG 47-24 (DAVIDSON UNORG)|38,Aitkin County,46.602446,-93.41976,0,9,0,0,0,15,0,0,0,0
UNORG 48-27 (BLIND LAKE UNORG)|255,Aitkin County,46.602446,-93.41976,0,8,0,0,0,9,0,0,0,0
UNORG 51-27 (LEMAY UNORG)|285,Aitkin County,46.602446,-93.41976,0,12,0,0,0,21,0,0,0,1
VERDON TWP|200,Aitkin County,46.602446,-93.41976,0,9,0,0,0,18,0,2,0,0
WAGNER TWP|205,Aitkin County,46.602446,-93.41976,1,55,0,2,0,120,1,2,0,2
WAUKENABO TWP|210,Aitkin County,46.602446,-93.41976,0,65,0,3,0,126,0,2,0,1
WEALTHWOOD TWP|215,Aitkin County,46.602446,-93.41976,0,82,0,1,2,121,0,3,1,1
WHITE PINE TWP|220,Aitkin County,46.602446,-93.41976,0,5,0,2,0,11,0,1,0,1
WILLIAMS TWP|225,Aitkin County,46.602446,-93.41976,1,19,0,2,2,44,0,0,0,0
WORKMAN TWP|230,Aitkin County,46.602446,-93.41976,0,37,0,1,1,76,1,2,0,2
ANDOVER P-10|50,Anoka County,45.27411,-93.242723,8,744,1,83,19,1143,15,39,1,10
ANDOVER P-1|5,Anoka County,45.27411,-93.242723,6,565,0,58,16,1288,21,38,1,5
ANDOVER P-2|10,Anoka County,45.27411,-93.242723,8,623,0,66,31,1069,17,41,0,7
ANDOVER P-3|15,Anoka County,45.27411,-93.242723,7,732,0,104,17,1148,25,53,2,9
ANDOVER P-4|20,Anoka County,45.27411,-93.242723,4,623,1,85,17,858,23,37,0,6
ANDOVER P-5|25,Anoka County,45.27411,-93.242723,5,757,0,83,14,1246,15,41,1,9
ANDOVER P-6|30,Anoka County,45.27411,-93.242723,2,441,0,53,15,1015,14,28,0,6
ANDOVER P-7|35,Anoka County,45.27411,-93.242723,3,495,1,70,18,859,14,39,0,1
ANDOVER P-8|40,Anoka County,45.27411,-93.242723,3,592,2,74,8,997,19,25,0,6
ANDOVER P-9|45,Anoka County,45.27411,-93.242723,3,623,1,80,19,964,19,39,0,2
ANOKA P-1|105,Anoka County,45.27411,-93.242723,3,402,1,37,14,348,18,15,0,10
ANOKA P-2|110,Anoka County,45.27411,-93.242723,2,516,1,57,11,506,9,13,1,6
ANOKA P-3|115,Anoka County,45.27411,-93.242723,2,470,1,52,22,666,7,15,0,9
ANOKA P-4|120,Anoka County,45.27411,-93.242723,3,482,0,65,18,491,13,17,2,8
ANOKA P-5|125,Anoka County,45.27411,-93.242723,5,417,0,60,18,482,14,20,0,8
ANOKA P-6|130,Anoka County,45.27411,-93.242723,10,535,0,46,24,475,10,30,0,13
ANOKA P-7|135,Anoka County,45.27411,-93.242723,4,433,1,51,21,558,10,11,1,11
ANOKA P-8|140,Anoka County,45.27411,-93.242723,6,422,0,40,25,549,7,17,1,8
BETHEL P-1|205,Anoka County,45.27411,-93.242723,2,50,0,15,3,182,3,6,0,1
BLAINE W-1 P-1|305,Anoka County,45.27411,-93.242723,3,652,0,43,15,520,16,31,1,2
BLAINE W-1 P-2|310,Anoka County,45.27411,-93.242723,6,696,1,45,27,619,12,25,0,6
BLAINE W-1 P-3|315,Anoka County,45.27411,-93.242723,3,511,0,63,14,532,11,16,1,7
BLAINE W-1 P-4|320,Anoka County,45.27411,-93.242723,3,339,2,29,12,427,13,24,1,5
BLAINE W-1 P-5|325,Anoka County,45.27411,-93.242723,3,770,3,67,26,870,27,44,0,5
BLAINE W-1 P-6|330,Anoka County,45.27411,-93.242723,3,439,0,52,8,541,13,25,2,7
BLAINE W-1 P-7|335,Anoka County,45.27411,-93.242723,3,462,3,39,15,485,15,19,1,6
BLAINE W-1 P-8|340,Anoka County,45.27411,-93.242723,2,447,1,78,8,594,5,28,1,7
BLAINE W-2 P-1|405,Anoka County,45.27411,-93.242723,8,523,0,43,21,527,8,29,2,7
BLAINE W-2 P-2A|410,Anoka County,45.27411,-93.242723,3,527,0,48,8,495,10,24,0,0
BLAINE W-2 P-2B|415,Anoka County,45.27411,-93.242723,2,650,1,64,16,597,11,24,1,9
BLAINE W-2 P-3|420,Anoka County,45.27411,-93.242723,2,598,0,52,11,513,13,23,2,7
BLAINE W-2 P-4A|425,Anoka County,45.27411,-93.242723,1,700,1,65,10,672,20,33,1,5
BLAINE W-2 P-4B|430,Anoka County,45.27411,-93.242723,4,574,0,44,6,617,14,23,0,4
BLAINE W-2 P-5|435,Anoka County,45.27411,-93.242723,2,447,0,51,10,556,12,18,2,6
BLAINE W-2 P-6|440,Anoka County,45.27411,-93.242723,6,917,1,92,13,1196,24,53,0,3
BLAINE W-3 P-1|505,Anoka County,45.27411,-93.242723,7,612,1,83,15,605,25,40,2,5
BLAINE W-3 P-2|510,Anoka County,45.27411,-93.242723,5,577,1,72,11,704,9,27,0,9
BLAINE W-3 P-3|515,Anoka County,45.27411,-93.242723,6,636,0,54,15,632,12,31,2,5
BLAINE W-3 P-4|520,Anoka County,45.27411,-93.242723,3,661,0,73,14,846,10,31,0,6
BLAINE W-3 P-5|525,Anoka County,45.27411,-93.242723,5,593,0,73,13,686,12,38,0,3
BLAINE W-3 P-6|530,Anoka County,45.27411,-93.242723,11,1105,1,106,18,1234,22,65,1,5
BLAINE W-3 P-7|535,Anoka County,45.27411,-93.242723,4,1090,1,81,27,1120,19,50,2,14
BLAINE W-3 P-8|540,Anoka County,45.27411,-93.242723,4,323,0,44,6,407,7,8,0,1
CENTERVILLE P-1|605,Anoka County,45.27411,-93.242723,9,829,3,97,18,1241,12,49,1,13
CIRCLE PINES P-1|705,Anoka County,45.27411,-93.242723,6,444,0,66,11,565,7,26,2,5
CIRCLE PINES P-2|710,Anoka County,45.27411,-93.242723,6,984,0,76,21,709,15,52,0,7
COLUMBIA HEIGHTS P-1|805,Anoka County,45.27411,-93.242723,9,1028,0,55,21,354,17,19,3,6
COLUMBIA HEIGHTS P-2|810,Anoka County,45.27411,-93.242723,9,835,0,47,27,312,16,17,2,10
COLUMBIA HEIGHTS P-3|815,Anoka County,45.27411,-93.242723,3,801,2,33,26,309,11,34,1,5
COLUMBIA HEIGHTS P-4|820,Anoka County,45.27411,-93.242723,9,798,0,44,19,322,10,11,1,3
COLUMBIA HEIGHTS P-5|825,Anoka County,45.27411,-93.242723,15,757,0,39,26,346,13,34,1,5
COLUMBIA HEIGHTS P-6|830,Anoka County,45.27411,-93.242723,6,613,1,50,25,337,9,29,2,8
COLUMBIA HEIGHTS P-7|835,Anoka County,45.27411,-93.242723,1,720,1,35,22,350,12,21,1,8
COLUMBIA HEIGHTS P-8|840,Anoka County,45.27411,-93.242723,4,675,0,55,21,353,14,22,0,11
COLUMBUS P-1|905,Anoka County,45.27411,-93.242723,9,805,0,96,22,1537,12,29,2,10
COON RAPIDS W-1 P-1|1005,Anoka County,45.27411,-93.242723,6,950,0,91,26,1119,17,47,0,5
COON RAPIDS W-1 P-2|1010,Anoka County,45.27411,-93.242723,12,818,0,96,14,1002,16,47,0,2
COON RAPIDS W-1 P-3|1015,Anoka County,45.27411,-93.242723,4,620,2,78,23,851,15,37,1,11
COON RAPIDS W-1 P-4|1020,Anoka County,45.27411,-93.242723,8,473,4,53,16,500,14,26,1,8
COON RAPIDS W-2 P-1|1105,Anoka County,45.27411,-93.242723,12,759,0,48,14,801,20,29,0,7
COON RAPIDS W-2 P-2|1110,Anoka County,45.27411,-93.242723,5,465,1,43,15,566,13,20,1,4
COON RAPIDS W-2 P-3|1115,Anoka County,45.27411,-93.242723,2,746,3,66,22,826,21,26,1,5
COON RAPIDS W-2 P-4|1120,Anoka County,45.27411,-93.242723,9,446,2,46,15,553,15,33,1,6
COON RAPIDS W-2 P-5|1125,Anoka County,45.27411,-93.242723,8,650,1,46,17,572,17,32,1,12
COON RAPIDS W-3 P-1|1205,Anoka County,45.27411,-93.242723,4,621,1,54,17,712,13,34,1,11
COON RAPIDS W-3 P-2|1210,Anoka County,45.27411,-93.242723,11,620,2,67,13,681,17,41,1,11
COON RAPIDS W-3 P-3|1215,Anoka County,45.27411,-93.242723,6,675,0,70,13,620,7,22,1,5
COON RAPIDS W-3 P-4|1220,Anoka County,45.27411,-93.242723,7,660,4,73,21,617,14,24,0,9
COON RAPIDS W-4 P-1|1305,Anoka County,45.27411,-93.242723,4,706,1,63,12,765,7,52,0,4
COON RAPIDS W-4 P-2|1310,Anoka County,45.27411,-93.242723,6,667,2,76,23,730,12,29,1,5
COON RAPIDS W-4 P-3|1315,Anoka County,45.27411,-93.242723,5,668,1,68,13,599,14,18,0,5
COON RAPIDS W-4 P-4|1320,Anoka County,45.27411,-93.242723,5,857,0,93,27,981,25,53,1,12
COON RAPIDS W-5 P-1|1405,Anoka County,45.27411,-93.242723,5,635,0,82,24,735,13,33,1,7
COON RAPIDS W-5 P-2|1410,Anoka County,45.27411,-93.242723,8,733,3,81,18,856,12,26,0,7
COON RAPIDS W-5 P-3|1415,Anoka County,45.27411,-93.242723,2,459,0,44,21,453,5,15,0,7
COON RAPIDS W-5 P-4|1420,Anoka County,45.27411,-93.242723,4,347,0,41,12,310,7,12,0,7
COON RAPIDS W-5 P-5|1425,Anoka County,45.27411,-93.242723,1,662,1,53,14,578,11,25,1,4
EAST BETHEL P-1|1505,Anoka County,45.27411,-93.242723,9,555,3,82,23,1469,20,31,1,8
EAST BETHEL P-2|1510,Anoka County,45.27411,-93.242723,6,600,2,100,12,1394,9,27,0,12
EAST BETHEL P-3|1515,Anoka County,45.27411,-93.242723,3,568,0,75,12,1258,15,38,0,9
FRIDLEY W-1 P-1|1605,Anoka County,45.27411,-93.242723,2,637,0,50,19,427,13,27,1,10
FRIDLEY W-1 P-2|1610,Anoka County,45.27411,-93.242723,3,596,1,45,13,440,12,26,0,7
FRIDLEY W-1 P-3|1615,Anoka County,45.27411,-93.242723,7,741,1,62,25,388,5,24,2,3
FRIDLEY W-1 P-4|1620,Anoka County,45.27411,-93.242723,6,567,0,34,11,319,10,21,1,7
FRIDLEY W-2 P-1|1705,Anoka County,45.27411,-93.242723,2,517,0,38,15,340,10,18,1,4
FRIDLEY W-2 P-2|1710,Anoka County,45.27411,-93.242723,4,534,0,41,14,287,9,15,2,11
FRIDLEY W-2 P-3|1715,Anoka County,45.27411,-93.242723,6,753,1,62,22,499,13,33,0,6
FRIDLEY W-2 P-4|1720,Anoka County,45.27411,-93.242723,2,752,0,45,15,477,16,19,0,2
FRIDLEY W-3 P-1|1805,Anoka County,45.27411,-93.242723,5,620,1,53,15,438,10,14,0,8
FRIDLEY W-3 P-2|1810,Anoka County,45.27411,-93.242723,7,784,0,60,28,562,12,32,1,15
FRIDLEY W-3 P-3|1815,Anoka County,45.27411,-93.242723,4,487,0,30,18,240,6,11,1,5
FRIDLEY W-3 P-4|1820,Anoka County,45.27411,-93.242723,5,505,0,38,16,311,10,22,0,8
HAM LAKE P-1|1905,Anoka County,45.27411,-93.242723,3,391,0,61,24,767,12,26,1,8
HAM LAKE P-2|1910,Anoka County,45.27411,-93.242723,3,554,1,57,12,1144,16,30,2,8
HAM LAKE P-3A|1915,Anoka County,45.27411,-93.242723,4,485,0,64,16,1121,13,27,1,8
HAM LAKE P-4A|1920,Anoka County,45.27411,-93.242723,9,477,0,67,12,1056,8,20,1,2
