Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Aitkin city, Aitkin County, Minnesota",2171,2106,73,54,17,0,0,2171,51,2120,2095,76
"Aitkin township, Aitkin County, Minnesota",975,968,5,4,2,0,1,975,9,966,970,5
"Ball Bluff township, Aitkin County, Minnesota",227,227,0,0,0,0,0,227,6,221,227,0
"Balsam township, Aitkin County, Minnesota",35,35,0,0,0,0,0,35,0,35,35,0
"Beaver township, Aitkin County, Minnesota",54,54,0,0,0,0,0,54,0,54,54,0
"Clark township, Aitkin County, Minnesota",158,151,0,7,0,0,0,158,0,158,158,0
"Cornish township, Aitkin County, Minnesota",32,32,0,0,0,0,0,32,5,27,32,0
"Davidson UT, Aitkin County, Minnesota",36,36,0,0,0,0,0,36,0,36,36,0
"Farm Island township, Aitkin County, Minnesota",1031,1031,0,6,0,0,0,1031,3,1028,1025,6
"Fleming township, Aitkin County, Minnesota",346,343,8,0,9,0,0,346,1,345,332,14
"Glen township, Aitkin County, Minnesota",436,436,0,4,4,0,0,436,0,436,432,4
"Haugen township, Aitkin County, Minnesota",185,185,0,0,0,0,0,185,0,185,185,0
"Hazelton township, Aitkin County, Minnesota",692,684,2,19,2,0,0,692,9,683,677,15
"Hill City city, Aitkin County, Minnesota",608,579,17,36,15,9,0,608,0,608,577,31
"Hill Lake township, Aitkin County, Minnesota",394,385,0,9,0,0,14,394,14,380,380,14
"Idun township, Aitkin County, Minnesota",246,245,0,1,0,0,0,246,0,246,246,0
"Jevne township, Aitkin County, Minnesota",336,324,0,5,9,0,0,336,0,336,334,2
"Jewett UT, Aitkin County, Minnesota",70,70,0,0,0,0,0,70,0,70,70,0
"Kimberly township, Aitkin County, Minnesota",170,166,0,0,0,0,4,170,4,166,170,0
"Lakeside township, Aitkin County, Minnesota",390,390,0,2,0,0,0,390,0,390,388,2
"Lee township, Aitkin County, Minnesota",25,25,0,0,0,0,0,25,1,24,25,0
