county,total,caucasion,african-american,idian-american,asian-american,native-american,two-or-more
Minnesota,5303925,4623461,280949,67325,217792,2958,111440
"Aitkin County, Minnesota",16202,15517,60,392,27,4,202
"Anoka County, Minnesota",330844,292551,14802,2512,13122,129,7728
"Becker County, Minnesota",32504,28804,144,2474,127,9,946
"Beltrami County, Minnesota",44442,33437,271,9057,311,18,1348
"Benton County, Minnesota",38451,36530,758,159,429,4,571
"Big Stone County, Minnesota",5269,5190,11,26,5,0,37
"Blue Earth County, Minnesota",64013,59855,1791,192,1270,23,882
"Brown County, Minnesota",25893,25485,66,34,155,6,147
"Carlton County, Minnesota",35386,31806,499,2097,160,6,818
"Carver County, Minnesota",91042,85819,1165,247,2528,25,1258
"Cass County, Minnesota",28567,24593,62,3222,88,3,599
"Chippewa County, Minnesota",12441,11968,67,124,58,99,125
"Chisago County, Minnesota",53887,51781,653,336,486,11,620
"Clay County, Minnesota",58999,55282,870,821,871,29,1126
"Clearwater County, Minnesota",8695,7618,31,787,22,1,236
"Cook County, Minnesota",5176,4570,23,450,27,3,103
"Cottonwood County, Minnesota",11687,11088,87,29,325,19,139
"Crow Wing County, Minnesota",62500,60522,323,536,242,17,860
"Dakota County, Minnesota",398552,349371,19301,2032,17857,257,9734
"Dodge County, Minnesota",20087,19633,80,57,90,4,223
"Douglas County, Minnesota",36009,35264,158,120,167,5,295
"Faribault County, Minnesota",14553,14288,52,69,43,0,101
"Fillmore County, Minnesota",20866,20558,54,29,74,1,150
"Freeborn County, Minnesota",31255,30315,261,88,243,38,310
"Goodhue County, Minnesota",46183,44218,459,571,280,33,622
"Grant County, Minnesota",6018,5910,20,9,14,6,59
"Hennepin County, Minnesota",1152425,891799,139229,13898,73213,812,33474
"Houston County, Minnesota",19027,18592,102,34,92,2,205
"Hubbard County, Minnesota",20428,19380,53,566,51,13,365
"Isanti County, Minnesota",37816,36456,258,176,312,23,591
"Itasca County, Minnesota",45058,42292,145,1579,145,14,883
"Jackson County, Minnesota",10266,9942,47,30,142,2,103
"Kanabec County, Minnesota",16239,15803,57,90,53,3,233
"Kandiyohi County, Minnesota",42239,40471,1001,149,186,28,404
"Kittson County, Minnesota",4552,4499,11,4,18,0,20
"Koochiching County, Minnesota",13311,12637,80,321,44,3,226
"Lac qui Parle County, Minnesota",7259,7134,17,18,32,7,51
"Lake County, Minnesota",10866,10636,16,51,31,0,132
"Lake of the Woods County, Minnesota",4045,3894,14,28,33,0,76
"Le Sueur County, Minnesota",27703,27105,99,86,172,5,236
"Lincoln County, Minnesota",5896,5826,8,11,16,3,32
"Lyon County, Minnesota",25857,24056,597,155,697,8,344
"McLeod County, Minnesota",36651,35737,209,102,279,18,306
"Mahnomen County, Minnesota",5413,2715,13,2217,3,1,464
"Marshall County, Minnesota",9439,9259,26,60,24,4,66
"Martin County, Minnesota",20840,20450,78,65,115,7,125
"Meeker County, Minnesota",23300,22946,94,49,61,17,133
"Mille Lacs County, Minnesota",26097,23867,99,1591,83,7,450
"Morrison County, Minnesota",33198,32539,132,75,101,11,340
"Mower County, Minnesota",39163,36930,874,137,678,52,492
"Murray County, Minnesota",8725,8534,27,14,78,2,70
"Nicollet County, Minnesota",32727,31101,670,123,436,2,395
"Nobles County, Minnesota",21378,18897,769,203,1207,31,271
"Norman County, Minnesota",6852,6552,13,111,31,0,145
"Olmsted County, Minnesota",144248,125944,7133,436,7951,87,2697
"Otter Tail County, Minnesota",57303,55627,444,300,285,39,608
"Pennington County, Minnesota",13930,13181,198,231,87,1,232
"Pine County, Minnesota",29750,27520,621,938,137,8,526
"Pipestone County, Minnesota",9596,9160,80,117,71,0,168
"Polk County, Minnesota",31600,30046,279,477,224,7,567
"Pope County, Minnesota",10995,10801,38,24,42,2,88
"Ramsey County, Minnesota",508640,370074,57465,4960,59888,376,15877
"Red Lake County, Minnesota",4089,3958,9,60,4,4,54
"Redwood County, Minnesota",16059,14347,91,810,518,2,291
"Renville County, Minnesota",15730,15357,44,115,54,6,154
"Rice County, Minnesota",64142,59384,2102,375,1336,50,895
"Rock County, Minnesota",9687,9419,60,37,54,1,116
"Roseau County, Minnesota",15629,14794,39,201,397,3,195
"St. Louis County, Minnesota",200226,186744,2768,4520,1799,66,4329
"Scott County, Minnesota",129928,115035,3507,1232,7535,120,2499
"Sherburne County, Minnesota",88499,83767,1713,454,1143,20,1402
"Sibley County, Minnesota",15226,14869,59,37,85,6,170
"Stearns County, Minnesota",150642,140150,4741,558,3025,98,2070
"Steele County, Minnesota",36576,34744,1029,100,291,9,403
"Stevens County, Minnesota",9726,9240,81,97,147,5,156
"Swift County, Minnesota",9783,9586,49,43,21,3,81
"Todd County, Minnesota",24895,24239,104,89,114,51,298
"Traverse County, Minnesota",3558,3362,13,139,4,1,39
"Wabasha County, Minnesota",21676,21248,94,44,98,1,191
"Wadena County, Minnesota",13843,13420,116,68,36,0,203
"Waseca County, Minnesota",19136,18231,396,157,134,5,213
"Washington County, Minnesota",238136,211394,8728,1201,12190,98,4525
"Watonwan County, Minnesota",11211,10825,95,104,97,4,86
"Wilkin County, Minnesota",6576,6413,15,64,20,0,64
"Winona County, Minnesota",51461,49027,653,143,1107,4,527
"Wright County, Minnesota",124700,119601,1356,461,1511,50,1721
"Yellow Medicine County, Minnesota",10438,9932,23,320,33,6,124
